"name","province","date","value"
"icu","BC",2020-08-15,4
"icu","BC",2020-08-16,4
"icu","BC",2020-08-17,3
"icu","BC",2020-08-18,3
"icu","BC",2020-08-19,4
"icu","BC",2020-08-20,4
"icu","BC",2020-08-21,5
"icu","BC",2020-08-22,5
"icu","BC",2020-08-23,5
"icu","BC",2020-08-24,5
"icu","BC",2020-08-25,7
"icu","BC",2020-08-26,7
"icu","BC",2020-08-27,7
"icu","BC",2020-08-28,7
"icu","BC",2020-08-29,7
"icu","BC",2020-08-30,7
"icu","BC",2020-08-31,10
"icu","BC",2020-09-01,10
"icu","BC",2020-09-02,14
"icu","BC",2020-09-03,11
"icu","BC",2020-09-04,12
"icu","BC",2020-09-05,12
"icu","BC",2020-09-06,12
"icu","BC",2020-09-07,12
"icu","BC",2020-09-08,12
"icu","BC",2020-09-09,15
"icu","BC",2020-09-10,14
"icu","BC",2020-09-11,10
"icu","BC",2020-09-12,10
"icu","BC",2020-09-13,10
"icu","BC",2020-09-14,16
"icu","BC",2020-09-15,20
"icu","BC",2020-09-16,23
"icu","BC",2020-09-17,22
"icu","BC",2020-09-18,20
"icu","BC",2020-09-19,20
"icu","BC",2020-09-20,20
"icu","BC",2020-09-21,21
"icu","BC",2020-09-22,22
"icu","BC",2020-09-23,18
"icu","BC",2020-09-24,20
"icu","BC",2020-09-25,19
"icu","BC",2020-09-26,19
"icu","BC",2020-09-27,19
"icu","BC",2020-09-28,22
"icu","BC",2020-09-29,20
"icu","BC",2020-09-30,21
"icu","BC",2020-10-01,19
"icu","BC",2020-10-02,16
"icu","BC",2020-10-03,16
"icu","BC",2020-10-04,16
"icu","BC",2020-10-05,16
"icu","BC",2020-10-06,16
"icu","BC",2020-10-07,15
"icu","BC",2020-10-08,17
"icu","BC",2020-10-09,19
"icu","BC",2020-10-10,19
"icu","BC",2020-10-11,19
"icu","BC",2020-10-12,19
"icu","BC",2020-10-13,24
"icu","BC",2020-10-14,24
"icu","BC",2020-10-15,24
"icu","BC",2020-10-16,26
"icu","BC",2020-10-17,26
"icu","BC",2020-10-18,26
"icu","BC",2020-10-19,19
"icu","BC",2020-10-20,18
